userName,content,score,thumbsUpCount,at
heri darwanto,terkutuk lah kau developer sialan gak ada yang tertarik sama iklan busuk lu yang ada malah bikin risih,1,0,2026-07-02 01:12:49
Jek Bro,Jasanya gk bisa di percaya selalu eror dri jatwal datangnya barang... Gk amanah ..aplikasi jga sering error.. kerja nya gk sesuai tanggal tiba cuma besar iklan tapi nol buktinya ..,1,2,2026-07-02 01:12:27
Arif Zhotep,"semakin lama semakin tidak jelas, deskripsinya tidak jelas,. bagaimana ingin memilih ukuran sedangkan tidak tertera jelas.",1,0,2026-07-02 01:11:00
Zaky Zuky,"iklan lu ga guna anj, gw mau liat"" manga malah ada iklan apk babi mana dikecilin lagi tombol x nya",1,0,2026-07-02 01:10:35
zainal 07,Joss.,5,0,2026-07-02 01:09:47
Harihari Recehtrus,"ngaa usah Sok Iye, gua lagi enak enaknya Baca Komik tiba"" maksa masuk Shopee padahal udah teken tanda × ini sering banget liatnya, (Intinya Aplikasi Maksa banget!!!!.... udah sepi ya sampai maksa Orang untuk Masuk Shopee Segala 😒)",1,0,2026-07-02 01:08:45
Belek 14,oke,5,0,2026-07-02 01:04:25
bot bottt,"terlalu sering muncul sebagai iklan,menganggu saja",1,0,2026-07-02 00:59:24
lukman haqim,SAMPAH,1,1,2026-07-02 00:59:23
Jamil azzaini Abidin,HAMA ANJING IKLAN LU BANGSAT !!,5,0,2026-07-02 00:58:10
Khanip Ka,"5 bintang, kunjungi Shopee.",5,0,2026-07-02 00:57:57
Guntur Gumelar,bagus,5,0,2026-07-02 00:56:43
Saddam afra,"iklan lu kebanyakan Maruk amat jadi orang,maksa banget,lama kelamaan risih dah sama ni apk,ganggu orang lagi ulangan",1,0,2026-07-02 00:56:13
Mohammad Nizam,Shopee sangat keren 👍👍 barang di shoope gak perna ngecewa in harga murah barang bagus,5,0,2026-07-02 00:52:26
Ndah Khibo,iklan shopee ada dimana mana,1,0,2026-07-02 00:51:50
dava khalid,aku kasih bintang 1 karna lu endors sarwendah,1,0,2026-07-02 00:50:40
Amanda Kim,Iklannya nyusahin banget,1,0,2026-07-02 00:47:01
Aqyla Aqyla,"najis, paket hampir semua telat seminggu dr estimasi",1,0,2026-07-02 00:44:39
Ridwan Gumilar,denda nya sangat mahal,1,0,2026-07-02 00:44:16
LANGGI Ajaaa,pnp (paksa and paksaa),5,0,2026-07-02 00:36:59
Mandor Setiawan,mempermudah,5,0,2026-07-02 00:36:42
El marwa zainiatussofa,woi sopi iklan lu noh kek babi gua jadi ngulang kan diskon doang gede tapi nyebelin minimal kalo bikin iklan tombol x dibikin yang gede lah kek judol aja lu sopi maksa banget,1,0,2026-07-02 00:36:01
angel pardede,"makin kesini shopee gak konsisten milih mitra kurir, kyk nya kurirnya gak di seleksi pilih asal2an, dan udah langganan prioritas perlakuan sama kyk biasa Bahakan paket slalu di lama2in oleh kurir",1,0,2026-07-02 00:28:38
Udin Asw,Barang dlm keadaan baik dan sesuai pesanan.,5,0,2026-07-02 00:26:17
arinih,"buat pemula atau yang modal pas2 an jangan jualan dishopee,rugi pencairan dananya seminggu sendiri,dana tidak bisa muter cepat",1,0,2026-07-02 00:26:10
mariposa08,"tolong di perbaiki voucher shopee food bisa dipakai utk makanan yg sudah pernah di pesan bukan malah tdk bisa di pake kembali utk makan yg sama utk dipake kebesok harinya atau beberapa hari ke depan, bukannya gamau pesan makanan yg lain tapi kan kalau lagi pengen makanan yg udh di beli sebelumnya",1,0,2026-07-02 00:24:51
Selu Bae,belanja jdi muda,5,0,2026-07-02 00:24:26
richiie richiio,"sekarang bobrok ye. mulai dari ngerugiin user, buyer, seller, dll percuma nomer 1 cuma mikir cuan, tapi ngerugiin pihak yg lain. gak guna VIP, voucher, dll. sekian gak terima gaji 🙏",1,0,2026-07-02 00:23:32
Matsunaga 86,mantap,5,0,2026-07-02 00:22:25
Akhmad Salam,sope paling murah ongkos luar pulau tapi ada masalah di kontrol hendpone sope mengontrol henpone sendiri memberi iklan hp yang tidak di beri izin masuk menu sendiri ketika berada di aplikasi lain saya sangat kecewa...... maka secara hukum adalah pelanggaran yang bisa dikenakan pasal,5,0,2026-07-02 00:21:39
Momo Rudiatmo,limit GK naik2 uninstall,1,0,2026-07-02 00:21:07
Ais Sy,iklan terlalu banyak terlalu memaksakan iklan sendiri dibuat dengan cuman gambar tanpa audio seperti robot yang membuat iklan dengan produksi masal,1,0,2026-07-02 00:18:44
Ferli Aldian,TOLONG YA ADMIN NYA DIKURANGI IKLAN NYA.,4,0,2026-07-02 00:15:47
Alif Rachman,kalau ngasih iklan yang ngotak dikit lah,1,0,2026-07-02 00:15:22
Carla Tika,"tolong kurangin iklan di apk lain,jangan memaksa untuk didownload. mungkin bukan hanya saya saja yg merasa terganggu akan apk mu ini scroll dikit iklan shopee"" gitu terus. mana tombol x nya kasang palsu lg sy tau kauni apk buat blnja tpi jngn mksa lah",1,0,2026-07-02 00:12:59
Fauzan Ali,terkadang ada yg jualan nipu..,5,0,2026-07-02 00:09:33
Iki Riski,p p apaahh,5,0,2026-07-02 00:07:47
Min Atinah,maantap,5,0,2026-07-02 00:04:48
Damar Vernando,"tolong lah kalo iklan tu jangan nyusahin, mau ngirim tugas malah masuk sini alhasil ngulang dari awal lagi, rasanya pengen banting hp, apalagi saat buka link malah masuk ke aplikasi",1,0,2026-07-02 00:04:14
muslimah muslimah,"Shopee lagi kenapa sih lama banget dateng paket nya yang harus nya 2/3 ini hampir 5 hari belum dateng, padahal bukan OP",4,0,2026-07-02 00:02:50
Pendi Susanto,Murah meriah,5,0,2026-07-02 00:01:26
Dinda nahla Larasati,"iklan lu maksa bgt pls, muak aku",1,0,2026-07-01 23:59:33
Emilia 1218,maju terus shopee,5,0,2026-07-01 23:59:14
Renhard Hadean,"Nih iklannya bisa dikurangi nggak? Udah terkenal juga masih aja muncul, mana susah banget lagi nge-skip nya. Udah pencet tombol (x) masih aja masuk. PARAH BENER DAHHH!!!",1,0,2026-07-01 23:55:44
Tata Rahayu,iklannya tolong di kondisikan. terlalu maksa. lagi buka apk lain tbtb otomatis masuk ke apk ini. udah di keluarin masuk lagi. kadang iklan muncul kita pencet x malah masuk ke apknya. Gedeg bgt. maksa banget heran.,1,0,2026-07-01 23:55:22
Sumartik,Nice,5,0,2026-07-01 23:50:38
Izumi Masuhara,Aplikasi yang membiarkan akses untuk mengambil tangkap layar atau screenshot atas bukti penerimaan barang dapat disalahgunakan oleh pengguna atau penerima. Hal ini dapat mengancam privasi pribadi mitra driver ketika pemilik barang tidak ada di rumah dan membuat terpaksa mitra driver mengambil potret dirinya sendiri untuk mengkonfirmasi pengiriman.,1,0,2026-07-01 23:45:21
Nada,"apk nya bagus, yg gabagus iklannya selalu maksa masuk, padahal udah tekan X tetap masuk juga, kan ganggu banget",3,0,2026-07-01 23:45:04
Paginalulu,ok,5,0,2026-07-01 23:39:29
Agung Jamaludin,toko yang nipu tetep bisa beroprasi ngga ada tangung jawab dari pratfrom besar gini,1,0,2026-07-01 23:36:18
Mutiara Salsabila,iklan yang sangat memaksa dan mengganggu kenyamanan,1,0,2026-07-01 23:34:17
Asep Hidayat2012,"tolong dong buat iklan tuh jangan maksa,ke ganggu banget saat aktivitas penting. tolong lah Shopee benerin iklan nya jangan langsung ke aplikasi shopee🥲",1,0,2026-07-01 23:34:11
Azka Pratama,sangat membatu,5,0,2026-07-01 23:33:52
Ahmad Ismail,Tambahkan fitur mode gelap,5,0,2026-07-01 23:32:39
M Zacky Yuzairi,pelit voucher,1,0,2026-07-01 23:32:04
alchizy,"kenapa semua text jadi singkat?, sama ngga ada dark mode?, tolong update selanjutnya diajukan",1,0,2026-07-01 23:26:33
Rina Asih,"sebenarnya bagus si selalu dapet diskon cuma yg bikin aku kasih bintang 2 itu iklan nya, terlalu maksa, pdhl ga pencet apa' tapi tiba' masuk ke apk nya bikin pusing",2,0,2026-07-01 23:24:05
nasrullah,Saya kasih bintang 5 karna memang saya suka dengan aplikasinya.. tapi mohon diperhatikan lebih jauh lagi untuk toko yang penjualnya tidak amanah tolong untuk dikeluarkan atau diblok dari aplikasi atas penjualannya karna kebanyakan barang yg sampai tidak sesuai dgn deskripsi yg tertera ditoko.mohon untuk lebih detail lagi.terimakasih,5,0,2026-07-01 23:23:48
Yusuf Hendro,SUMPAH IKLANNYA BIKIN EMOSI!! KAGA DI PENCET MASUK SENDIRI!!,2,0,2026-07-01 23:20:01
Sulaiman Fitri,kami puwas dngan lyanany,5,0,2026-07-01 23:20:00
Muhamad Arif Rahman,iklannya ganggu bgt,1,0,2026-07-01 23:19:08
Hendro Sujiwo,selalu ada untuk segala hal sesuai kebutuhan,5,0,2026-07-01 23:18:42
Lovera _lovee,"sengaja kasih bintang dua, karna ini aplikasi maksa banget, udah pencet tanda x tapi selalu berasi ke shopee, iklannya terlalu maksa, tenang aja, aku selalu belanja kok di shopee gak perlu maksa gitu.",2,0,2026-07-01 23:17:00
Yafy Ali,"sering iklan digame offline, saya sudah pencet tombol x tapi malah dikirim ke play store padahal saya lagi main game",1,0,2026-07-01 23:15:38
Just Stranger,okelahh,4,0,2026-07-01 23:13:56
Nabila Agustina,"apk bagus si, minesnya dia pake sarwendah buat promosi",1,0,2026-07-01 23:13:16
intannajahh intan jaa,"IKLAN NY MAKSA BNGT, aku keganggu bngt",1,0,2026-07-01 23:11:50
Kasro Willy,mantap betul,5,0,2026-07-01 23:05:12
Sheira Syifa,"Aplikasi lemot padahal sinyal bagus, aplikasi udah versi baru masih aja lemot..lebih bagus aplikasi Tokped wkwk",5,0,2026-07-01 23:02:56
Kus nanto,Joss gandos,5,0,2026-07-01 22:59:44
Radit Lalegit,apk anjj iya gua klo mo blanja ksitu ini lagii ngedit ribet bgtt ikannya maksa bukan cuma pas ngedit anjj lo muncul sumpah bikin gamood anj,1,0,2026-07-01 22:59:29
Imam Dzaky Hanafi,apk yang sangat berguna dan terbaik nyak,5,0,2026-07-01 22:57:31
Ajan Seluas,Singapura hama,1,0,2026-07-01 22:56:15
Sitty Fathonah,"17 Maret: Aplikasi lemot. Baru buka lgsg masuk live video. Tgl 19 April: Lemot lemot lemot lemot lemot!!!! 21 April: Mau isi saldo dari Seabank lemot banget!!! 28-12-2024 𝘱𝘦𝘯𝘨𝘢𝘫𝘶𝘢𝘯 𝘱𝘦𝘯𝘨𝘦𝘮𝘣𝘢𝘭𝘪𝘢𝘯 𝘥𝘢𝘯𝘢 𝘥𝘪𝘵𝘰𝘭𝘢𝘬, 𝘱𝘢𝘥𝘢𝘩𝘢𝘭 𝘶𝘥𝘢𝘩 𝘫𝘦𝘭𝘢𝘴 𝘬𝘢𝘴𝘪𝘩 𝘣𝘶𝘬𝘵𝘪𝘯𝘺𝘢 𝘥𝘳𝘪𝘷𝘦𝘳 𝘴𝘢𝘭𝘢𝘩 𝘬𝘢𝘴𝘪𝘩 𝘰𝘳𝘥𝘦𝘳𝘢𝘯. Payah. 11-03-2026 aplikasi error. Lambat..",1,66,2026-07-01 22:53:26
muhtar ismail,Sangat membantu,5,0,2026-07-01 22:50:21
Nico Dwi,sangat baik,5,0,2026-07-01 22:50:20
Neng Asih Hermayanti,ribet hapus akun aja hrus abisin saldo shpepay dulu,1,0,2026-07-01 22:50:06
Ardan Ardan,kurang kecil tanda silang iklan. gua sampek marah marah. masih baik gak gue auinstal ni aplikasi,1,0,2026-07-01 22:50:00
Dedy Anggara,tolol.pemesan lokasi di cileduk beli barang seller di kararawaci.barang dikirim cuman muter2 doang ngapain harus ke jakut sekala mana amoe 3 hari blom juga sampe,1,0,2026-07-01 22:49:27
Affandy Atsnan,pengiriman ke alamat saya selalu sore hari kadang juga tertunda gatau kenapa. Dan saya berlangganan shopeeVip tp tetap gk dapat gratis ongkir untuk kedepannya tolong cantumkan kontak kurir yg ditugaskan antar paket dong,1,0,2026-07-01 22:49:16
Ali Ali,sangat mudah digunakan dan praktis,5,0,2026-07-01 22:47:58
Al Varoh,saya suka bisa membeli barang walaupun cuma di rumah,5,0,2026-07-01 22:46:02
Umi Hani,"bagus buat belanja,mines MUAK dikit dikit iklan shope,buka aplikasi apa shope,semua shopee.padahal baru penct aplksi iklan shopee.",2,0,2026-07-01 22:45:50
